DB.Class.Key,Symbol.x,Symbol.y
49391590,Arhgap22,ARHGAP22
49391591,Arhgap23,ARHGAP23
49391592,Arhgap29,ARHGAP29
49391593,Arhgap35,ARHGAP35
49391594,Arhgap44,ARHGAP44
49391595,Arhgap45,ARHGAP45
49391596,Arhgap6,ARHGAP6
49391597,Arhgap36,ARHGAP36
49391598,Arhgef2,ARHGEF2
49391599,Arhgef1,ARHGEF1
49391600,Arhgef10l,ARHGEF10L
49391601,Arhgef15,ARHGEF15
49391602,Arhgef18,ARHGEF18
49391603,Arhgef28,ARHGEF28
49391604,Arhgef37,ARHGEF37
49391605,Arhgef7,ARHGEF7
49391606,Arhgef9,ARHGEF9
49391607,Rnd2,RND2
49391608,Rnd1,RND1
49391609,Tomm20,TOMM20
49391610,Arid5a,ARID5A
49391611,Phox2a,PHOX2A
49391612,Arl8b,ARL8B
49391613,Arl15,ARL15
49391614,Arl13b,ARL13B
49391615,Arl3,ARL3
49391616,Arl4a,ARL4A
49391617,Arl6ip1,ARL6IP1
49391618,Atl2,ATL2
49391619,Arl6ip5,ARL6IP5
49391620,Arl5b,ARL5B
49391621,Odad2,ODAD2
49391622,Arnt,ARNT
49391623,Arnt2,ARNT2
49391624,Bmal1,BMAL1
49391625,Bmal2,BMAL2
49391626,Ddc,DDC
49391627,Arpc5,ARPC5
49391628,Arpc5l,ARPC5L
49391629,Arpp19,ARPP19
49391630,Arr3,ARR3
49391631,Arrb2,ARRB2
49391632,Arrb1,ARRB1
49391633,Arrdc1,ARRDC1
49391634,Arrdc3,ARRDC3
49391635,Sag,SAG
49391636,Srrt,SRRT
49391637,Arsi,ARSI
49391638,Arx,ARX
49391639,Asah1,ASAH1
49391640,Asap1,ASAP1
49391641,Asb12,ASB12
49391642,Asb13,ASB13
49391643,Asb14,ASB14
49391644,Asf1a,ASF1A
49391645,Asf1b,ASF1B
49391646,Asb2,ASB2
49391647,Asb5,ASB5
49391648,Slc10a2,SLC10A2
49391649,Asgr1,ASGR1
49391650,Clec10a,CLEC10A
49391651,Asgr2,ASGR2
49391652,Mgl2,CLEC10A
49391653,Ascl1,ASCL1
49391654,a,ASIP
49391655,Pard3,PARD3
49391656,Map3k5,MAP3K5
49391657,Lhfpl5,LHFPL5
49391658,Get3,GET3
49391659,Aspn,ASPN
49391660,Trp53bp2,TP53BP2
49391661,Ass1,ASS1
49391662,Robo2,ROBO2
49391663,Aste1,ASTE1
49391664,Slc17a8,SLC17A8
49391665,Ints13,INTS13
49391666,Atad1,ATAD1
49391667,Atad3a,ATAD3C
49391668,Prr15l,PRR15L
49391669,Ubqln4,UBQLN4
49391670,Dtd2,DTD2
49391671,Atf2,ATF2
49391672,Atf4,ATF4
49391673,Pnpla2,PNPLA2
49391674,Atoh1,ATOH1
49391675,Atoh7,ATOH7
49391676,Pgghg,PGGHG
49391677,Dtna,DTNA
49391678,Neurod6,NEUROD6
49391679,Neurog3,NEUROG3
49391680,Atp1a1,ATP1A1
49391681,Atp1b2,ATP1B2
49391682,Atp1b3,ATP1B3
49391683,Atp2a2,ATP2A2
49391684,Atp2b3,ATP2B3
49391685,Atp5f1a,ATP5F1A
49391686,Atp5f1b,ATP5F1B
49391687,Atp5f1c,ATP5F1C
49391688,Atp5f1d,ATP5F1D
49391689,Atp5f1e,ATP5F1E
49391690,Atp5pb,ATP5PB
49391691,Atp5mc3,ATP5MC3
49391692,Atp5mc1,ATP5MC1
49391693,Atp5pd,ATP5PD
49391694,Atp5me,ATP5ME
49391695,Atp5pf,ATP5PF
49391696,Atp5mf,ATP5MF
49391697,Atp5mj,ATP5MJ
49391698,Atp5po,ATP5PO
49391699,Dmac2l,DMAC2L
49391700,mt-Atp6,ATP6
49391701,Atp6ap1,ATP6AP1
49391702,Atp6ap1l,ATP6AP1L
49391703,Atp6v1e1,ATP6V1E1
49391704,Atp6v1e2,ATP6V1E2
49391705,Atp6v0c,ATP6V0C
49391706,Atp6v0a1,ATP6V0A1
49391707,Atp6v0e,ATP6V0E1
49391708,Atp6v1a,ATP6V1A
49391709,Atp6v1b2,ATP6V1B2
49391710,Atp6v1c1,ATP6V1C1
49391711,Atp1a2,ATP1A2
49391712,Atp1a3,ATP1A3
49391713,Gpn2,GPN2
49391714,Gpn3,GPN3
49391715,Dph6,DPH6
49391716,Atp5if1,ATP5IF1
49391717,Antkmt,ANTKMT
49391718,Aldh7a1,ALDH7A1
49391719,Antxr2,ANTXR2
49391720,Atrnl1,ATRNL1
49391721,Fbxo32,FBXO32
49391722,Rere,RERE
49391723,Enpp2,ENPP2
49391724,Atxn1,ATXN1
49391725,Atxn7l2,ATXN7L2
49391726,Atxn7l3,ATXN7L3
49391727,Alkal2,ALKAL2
49391728,Alkal1,ALKAL1
49391729,Thrsp,THRSP
49391730,Aurkb,AURKB
49391731,Aurkc,AURKC
49391732,Auts2,AUTS2
49391733,Dnajc6,DNAJC6
49391734,Avpr1a,AVPR1A
49391735,Avpr2,AVPR2
49391736,Zfand6,ZFAND6
49391737,Foxa2,FOXA2
49391738,Axin2,AXIN2
49391739,Marchf7,MARCHF7
49391740,Csrnp1,CSRNP1
49391741,Lpcat1,LPCAT1
49391742,Glra1,GLRA1
49391743,Glra4,GLRA4
49391744,Cep131,CEP131
49391745,Azin1,AZIN1
49391746,Oaz1,OAZ1
49391747,Oaz2,OAZ2
49391748,B3galt1,B3GALT1
49391749,B3glct,B3GLCT
49391750,B3gat1,B3GAT1
49391751,B4gat1,B4GAT1
49391752,B3gnt3,B3GNT3
49391753,B3gnt5,B3GNT5
49391754,B4galnt2,B4GALNT2
49391755,Hbb-bh2,HBD
49391756,Hbb-y,HBE1
49391757,Baalc,BAALC
49391758,Bace2,BACE2
49391759,Bach1,BACH1
49391760,Bach2,BACH2
49391761,Otop1,OTOP1
49391762,Bad,BAD
49391763,Itga3,ITGA3
49391764,Smarcc2,SMARCC2
49391765,Actl6a,ACTL6A
49391766,Smarce1,SMARCE1
49391767,Smarcd1,SMARCD1
49391768,Tnfsf13b,TNFSF13B
49391769,Bahcc1,BAHCC1
49391770,Adgrb1,ADGRB1
49391771,Adgrb2,ADGRB2
49391772,Adgrb3,ADGRB3
49391773,Magi1,MAGI1
49391774,Baiap2l1,BAIAP2L1
49391775,Baiap2l2,BAIAP2L2
49391776,Chat,CHAT
49391777,Lama1,LAMA1
49391778,Bambi,BAMBI
49391779,Stom,STOM
49391780,Glrb,GLRB
49391781,Cse1l,CSE1L
49391782,Heatr1,HEATR1
49391783,Nkx3-2,NKX3-2
49391784,Ubiad1,UBIAD1
49391785,Barhl1,BARHL1
49391786,Cel,CEL
49391787,Ddx39b,DDX39B
49391788,Bag6,BAG6
49391789,Abhd16b,ABHD16B
49391790,Abhd16a,ABHD16A
49391791,Ehmt2,EHMT2
49391792,Bax,BAX
49391793,Gapdhrt,GAPDH
49391794,Gapdhrt2,GAPDH
49391795,Gapdh,GAPDH
49391796,Rpl7,RPL7
49391797,Bbip1,BBIP1
49391798,Bbof1,BBOF1
49391799,Mapkapk2,MAPKAPK2
49391800,Trim32,TRIM32
49391801,Arl6,ARL6
49391802,Mkks,MKKS
49391803,Ttc8,TTC8
49391804,Blcap,BLCAP
49391805,Chmp2a,CHMP2A
49391806,Phb2,PHB2
49391807,Mepce,MEPCE
49391808,Bco1,BCO1
49391809,Bco2,BCO2
49391810,Ckb,CKB
49391811,Bcl11a,BCL11A
49391812,Bcl11b,BCL11B
49391813,Bcl2,BCL2
49391814,Bcl2l1,BCL2L1
49391815,Bcl6,BCL6
49391816,Bcl7b,BCL7B
49391817,Bcl9l,BCL9L
49391818,Bdkrb1,BDKRB1
49391819,Dll3,DLL3
49391820,Itga5,ITGA5
49391821,Lhx2,LHX2
49391822,Psmb6,PSMB6
49391823,Itgb1,ITGB1
49391824,Psmb9,PSMB9
49391825,Psmb7,PSMB7
49391826,Psmb10,PSMB10
49391827,Neurod1,NEUROD1
49391828,Bhlhe22,BHLHE22
49391829,Bhlhe23,BHLHE23
49391830,Psmb5,PSMB5
49391831,Psmb8,PSMB8
49391832,Psmb11,PSMB11
49391833,H2-Eb2,HLA-DRB1
49391834,H2-Ab1,HLA-DQB2
49391835,H2-Ob,HLA-DOB
49391836,Napb,NAPB
49391837,Cfb,CFB
49391838,Foxg1,FOXG1
49391839,Fabp7,FABP7
49391840,Adgrg6,ADGRG6
49391841,Bgn,BGN
49391842,Bhlhe40,BHLHE40
49391843,Bhlhe41,BHLHE41
49391844,Bhlha15,BHLHA15
49391845,Tmbim6,TMBIM6
49391846,Cdh2,CDH2
49391847,Bicdl1,BICDL1
49391848,Bicc1,BICC1
49391849,Bid,BID
49391850,Tgfbi,TGFBI
49391851,Klf17,KLF17
49391852,Bcl2l11,BCL2L11
49391853,Bin1,BIN1
49391854,Bin2,BIN2
49391855,Zbtb22,ZBTB22
49391856,Myl12b,MYL12B
49391857,Wdr46,WDR46
49391858,Hspa5,HSPA5
49391859,Slc12a7,SLC12A7
49391860,Birc2,BIRC2
49391861,Birc3,BIRC3
49391862,Xiap,XIAP
49391863,Frem2,FREM2
49391864,Slc37a2,SLC37A2
49391865,Prdm1,PRDM1
49391866,Ptch2,PTCH2
49391867,Ptch1,PTCH1
49391868,Ltb4r1,LTB4R
49391869,Ltb4r2,LTB4R2
49391870,Blk,BLK
49391871,Slc17a6,SLC17A6
49391872,Kat6a,KAT6A
49391873,Bmi1,COMMD3-BMI1
49391874,Bmp10,BMP10
49391875,Gdf11,GDF11
49391876,Gdf7,GDF7
49391877,Gdf6,GDF6
49391878,Gdf5,GDF5
49391879,Bmp2,BMP2
49391880,Gdf10,GDF10
49391881,Bmp4,BMP4
49391882,Bmp5,BMP5
49391883,Bmp7,BMP7
49391884,Bmp8a,BMP8B
49391885,Gdf2,GDF2
49391886,Bms1,BMS1
49391887,Samtor,SAMTOR
49391888,Mybl2,MYBL2
49391889,Bnip3l,BNIP3L
49391890,Atcay,ATCAY
49391891,Bnc2,BNC2
49391892,Nppb,NPPB
49391893,Bok,BOK
49391894,Mixl1,MIXL1
49391895,Ifitm5,IFITM5
49391896,Bcl2l10,BCL2L10
49391897,Extl3,EXTL3
49391898,Dst,DST
