Metabolite_set,Metabolite
Phytochemical compounds [BR:br08003],Rishitin
Phytochemical compounds [BR:br08003],Pisiferic acid
Phytochemical compounds [BR:br08003],Castasterone
Phytochemical compounds [BR:br08003],Fagomine
Phytochemical compounds [BR:br08003],Gratiogenin
Phytochemical compounds [BR:br08003],Butyric acid
Phytochemical compounds [BR:br08003],Lotaustralin
Phytochemical compounds [BR:br08003],Slaframine
Phytochemical compounds [BR:br08003],Homostachydrine
Phytochemical compounds [BR:br08003],Arachidic acid
Phytochemical compounds [BR:br08003],Barringtogenol C
Phytochemical compounds [BR:br08003],alpha-Irone
Phytochemical compounds [BR:br08003],Linamarin
Phytochemical compounds [BR:br08003],Hymenoxon
Phytochemical compounds [BR:br08003],Monotropein
Phytochemical compounds [BR:br08003],Retronecine
Phytochemical compounds [BR:br08003],Quassin
Phytochemical compounds [BR:br08003],Indole-3-acetate
Phytochemical compounds [BR:br08003],Dopamine
Phytochemical compounds [BR:br08003],Gynocardin
Phytochemical compounds [BR:br08003],Cardiospermin
Phytochemical compounds [BR:br08003],Otonecine
Phytochemical compounds [BR:br08003],Heliotridine
Alkaloids,Niacinamide
Alkaloids,Xanthine
Alkaloids,Pipecolic acid
Alkaloids,Xanthosine
Alkaloids,Hypoxanthine
Alkaloids,Anibine
Alkaloids,Fagomine
Alkaloids,Slaframine
Alkaloids,Homostachydrine
Alkaloids,Retronecine
Alkaloids,Retronecine
Alkaloids,Indole-3-acetate
Alkaloids,Dopamine
Alkaloids,Otonecine
Alkaloids,Heliotridine
Alkaloids derived from nicotinic acid,Niacinamide
Pyridine alkaloids,Niacinamide
C00153  Nicotinamide,Niacinamide
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00036)],Niacinamide
A ALIMENTARY TRACT AND METABOLISM,Niacinamide
A ALIMENTARY TRACT AND METABOLISM,Citric acid
A ALIMENTARY TRACT AND METABOLISM,Riboflavin
A ALIMENTARY TRACT AND METABOLISM,NAD
A ALIMENTARY TRACT AND METABOLISM,Glycerol
A ALIMENTARY TRACT AND METABOLISM,Carglumic acid
A ALIMENTARY TRACT AND METABOLISM,Betaine
A ALIMENTARY TRACT AND METABOLISM,Mannitol
A ALIMENTARY TRACT AND METABOLISM,Ursodeoxycholic acid
A ALIMENTARY TRACT AND METABOLISM,myo-Inositol
A11 VITAMINS,Niacinamide
A11 VITAMINS,Riboflavin
A11 VITAMINS,NAD
A11 VITAMINS,myo-Inositol
A11H OTHER PLAIN VITAMIN PREPARATIONS,Niacinamide
